Title,Date
"3 Body Problem: Staffel 1: Rotes Ufer","7/25/24"
"3 Body Problem: Staffel 1: Countdown","7/25/24"
"Das Signal: Limited Series: Paula","7/23/24"
"Neon Genesis Evangelion: Angriff der Engel","7/22/24"
"Das Signal: Limited Series: Verschwunden","7/22/24"
"Sherlock Holmes: Spiel im Schatten","7/21/24"
"ONE PIECE: Staffel 1: Wanted!","7/21/24"
"ONE PIECE: Staffel 1: Das Mädchen mit dem Sägefisch-Tattoo","7/21/24"
"ONE PIECE: Staffel 1: Der Koch und der Matrose","7/21/24"
"ONE PIECE: Staffel 1: Willkommen im Baratie!","7/21/24"
"ONE PIECE: Staffel 1: Die Piraten kommen","7/21/24"
"ONE PIECE: Staffel 1: Lügen, nichts als Lügen","7/21/24"
"ONE PIECE: Staffel 1: Der Mann mit dem Strohhut","7/21/24"
"ONE PIECE: Staffel 1: Das Abenteuer beginnt","7/21/24"
"Constantine","7/7/24"
"The Da Vinci Code - Sakrileg","7/7/24"
"The Rising of the Shield Hero: Staffel 1: Der Held des Schilds","7/6/24"
"Suzume","7/2/24"
"Illuminati","7/2/24"
"Phantastische Tierwesen: Dumbledores Geheimnisse","7/2/24"
"GODZILLA The Planet Eater","6/28/24"
"GODZILLA Planet of the Monsters: Planet of the Monsters","6/28/24"
"Delicious in Dungeon: Folge 24: Teigtaschen -2-/Ei mit Speck","6/28/24"
"Pacific Rim","6/28/24"
"My Oni Girl","6/28/24"
"Blue Eye Samurai: Absonderlichkeiten","6/9/24"
"Blue Eye Samurai: Nur zwei Wege","6/8/24"
"Blue Eye Samurai: Ein unerwartetes Element","6/8/24"
"Blue Eye Samurai: Unrein","6/8/24"
"Delicious in Dungeon: Folge 23: Greifensuppe/Teigtaschen -1-","6/8/24"
"Delicious in Dungeon: Folge 22: Greif/Vertraute","6/8/24"
"Delicious in Dungeon: Folge 21: Ei/Das goldene Land","6/8/24"
"Godzilla Minus One","6/8/24"
"Sherlock: Ein Fall von Pink","5/31/24"
"Gyeongseong Creature: Staffel 1: Mutter","5/30/24"
"Gyeongseong Creature: Staffel 1: Najin","5/30/24"
"Delicious in Dungeon: Folge 20: Eis-Golem/Barometz","5/30/24"
"Delicious in Dungeon: Folge 19: Hexe/Albtraum","5/30/24"
"Troll","5/30/24"
"Arrietty – Die wundersame Welt der Borger","5/28/24"
"Mein Nachbar Totoro","5/28/24"
"Disenchantment: Teil 5: Kopflos","5/18/24"
"The 8 Show: Miniserie: Folge 1","5/18/24"
"Godzilla","5/12/24"
"Castlevania: Staffel 1: Hexenflasche","5/6/24"
"Delicious in Dungeon: Folge 18: Gestaltwandler","5/5/24"
"Delicious in Dungeon: Folge 17: Harpyien/Trugbilder","5/5/24"
